,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr
2020-05-01,0.13333333333333333,0.3666666666666667,0.13333333333333336,0.9333333333333333,0.22635135135135134
2020-05-02,0.07142857142857142,0.3571428571428571,0.2857142857142857,1.0,0.14186851211072665
2020-05-03,0.0625,0.0,0.5,0.875,0.13758389261744963
2020-05-04,0.0,0.40909090909090906,0.5454545454545454,1.0,0.20677966101694914
2020-05-05,0.19047619047619047,0.19047619047619047,0.6190476190476191,1.0,0.2696335078534031
2020-05-06,0.08000000000000002,0.28,0.36000000000000004,0.88,0.11111111111111116
2020-05-07,0.10344827586206898,0.10344827586206895,0.34482758620689646,1.0,0.20415224913494812
2020-05-08,-0.1764705882352941,0.1764705882352941,0.3529411764705882,0.8823529411764706,0.1774744027303754
2020-05-09,0.16666666666666666,0.2777777777777778,0.33333333333333337,0.8888888888888888,0.11458333333333331
2020-05-10,-0.2777777777777778,0.16666666666666663,0.5,0.7222222222222223,0.16433566433566432
2020-05-11,0.0,0.09090909090909088,0.2727272727272727,0.9090909090909092,0.103448275862069
2020-05-12,0.08333333333333331,-0.08333333333333337,0.29166666666666663,0.9166666666666667,0.09390862944162437
2020-05-13,0.1,0.30000000000000004,0.15000000000000002,1.0,0.12152777777777779
2020-05-14,0.12000000000000001,0.32,0.64,0.8,0.2909090909090909
2020-05-15,0.06451612903225806,0.25806451612903225,0.4516129032258065,0.935483870967742,0.17941952506596304
2020-05-16,-0.1818181818181818,0.45454545454545453,0.09090909090909088,1.0,0.2110726643598616
2020-05-17,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.9090909090909091,0.10204081632653061
2020-05-18,0.16000000000000003,0.19999999999999996,0.52,0.8400000000000001,0.22337662337662337
2020-05-19,0.15,0.19999999999999998,0.050000000000000044,1.0,0.11764705882352938
2020-05-20,0.07692307692307693,0.46153846153846145,0.5,0.8461538461538461,0.20618556701030927
2020-05-21,0.13043478260869565,0.043478260869565244,0.4347826086956521,0.782608695652174,0.1718213058419244
2020-05-22,0.30434782608695654,0.2608695652173913,0.26086956521739124,0.9130434782608696,0.1517241379310345
2020-05-23,0.0,0.25000000000000006,0.08333333333333337,0.6666666666666667,0.08098591549295775
2020-05-24,0.2222222222222222,0.33333333333333337,0.4444444444444445,0.6666666666666667,0.1936619718309859
2020-05-25,0.14285714285714285,0.2857142857142857,0.7857142857142857,1.0,0.1780821917808219
2020-05-26,-0.03999999999999998,0.24,0.28,0.84,0.19310344827586207
2020-05-27,0.21052631578947367,0.4736842105263158,0.5263157894736843,0.894736842105263,0.18947368421052635
2020-05-28,0.0,0.29166666666666663,0.45833333333333337,0.75,0.1510791366906475
2020-05-29,0.2666666666666666,0.43333333333333335,0.4666666666666667,0.7000000000000001,0.20833333333333331
2020-05-30,0.4444444444444444,0.0,0.1111111111111111,0.8888888888888888,0.19576719576719576
2020-05-31,0.1875,0.375,-0.125,0.75,0.13684210526315788
2020-06-01,0.0,0.12,0.48000000000000004,0.9199999999999999,0.0824742268041237
2020-06-02,0.1923076923076923,0.3461538461538461,0.1923076923076923,0.6923076923076923,0.1358885017421603
2020-06-03,0.05882352941176472,0.6470588235294118,0.1764705882352941,0.8823529411764706,0.23728813559322032
2020-06-04,0.08695652173913043,0.2173913043478261,0.30434782608695654,0.9130434782608696,0.21379310344827585
2020-06-05,-0.10526315789473684,-0.10526315789473684,0.3157894736842105,0.7894736842105263,0.13448275862068965
2020-06-06,0.18181818181818182,0.0,0.09090909090909088,0.8181818181818181,0.18134715025906736
2020-06-07,-0.125,0.1875,0.4375,0.875,0.16206896551724143
2020-06-08,0.1875,0.125,0.3125,0.875,0.17770034843205573
2020-06-09,0.038461538461538464,0.0,0.5384615384615384,0.8461538461538463,0.1590106007067138
2020-06-10,0.06666666666666665,0.03333333333333338,0.26666666666666666,0.9666666666666667,0.14893617021276595
2020-06-11,0.0625,0.4375,0.1875,0.875,0.096551724137931
2020-06-12,-0.04000000000000001,0.32,0.31999999999999995,0.9199999999999999,0.2346938775510204
2020-06-13,0.23076923076923078,0.07692307692307693,0.0,0.6923076923076923,0.10416666666666669
2020-06-14,0.0,0.42857142857142855,-0.07142857142857145,0.7857142857142857,0.18324607329842932
2020-06-15,0.11538461538461539,0.11538461538461536,0.3846153846153846,0.8461538461538463,0.14388489208633098
2020-06-16,-0.038461538461538436,0.07692307692307693,0.3461538461538462,0.8461538461538463,0.13989637305699482
2020-06-17,-0.04166666666666666,0.33333333333333337,0.6666666666666667,0.8333333333333333,0.21453287197231835
2020-06-18,0.08333333333333333,0.33333333333333337,0.29166666666666663,0.875,0.17368421052631577
2020-06-19,0.0,0.09090909090909094,0.18181818181818182,0.8636363636363636,0.1295336787564767
2020-06-20,-0.11111111111111113,-0.05555555555555558,0.2777777777777778,0.6666666666666667,0.06976744186046507
2020-06-21,-0.13333333333333333,0.2,0.3333333333333333,0.6,0.14659685863874344
2020-06-22,0.0625,0.5,0.625,0.75,0.164021164021164
2020-06-23,-0.15384615384615385,0.2692307692307693,0.23076923076923078,1.0,0.2152777777777778
